제목,날짜
 혁신성장기업 직접 발굴 나선다,2020.07.27
 영실업과 ‘우리아이 행복만들기’ 이벤트 실시,2020.07.24
 국제표준 환경경영 인증 ISO14001 획득,2020.07.22
 ‘소상공인 2차 금융지원대출’ 금리 인하,2020.07.20
"리은행장, “현재의 위기는 새롭게 도약할 수 있는 기회!”",2020.07.20
"리은행, ‘핀투비’와 매출채권 할인 서비스 시행",2020.07.17
"미국법인, Zelle Pay와 파트너십 국내은행 최초 미국내 간편송금 서비스 출시",2020.07.17
 최고 연 6.0% ‘우리 Magic 6 적금’ 출시,2020.07.15
 소외계층 위한 건강한 여름나기 공모사업 지원,2020.07.14
 ‘청약통장 가입 경품 이벤트’실시,2020.07.09
"홍콩 IB법인, S&P 국제신용등급 A등급 획득",2020.07.08
 국가공인 개인정보보호 관리체계 인증 획득,2020.07.08
 베트남 상장기업 Cen Group과 디지털금융 서비스 확대를 위한 업무제휴 체결,2020.07.06
 역동성 제고를 위한 조직개편 실시,2020.07.04
 보이스피싱 악성앱 차단 서비스 실시,2020.07.03
 아시안뱅커지 ‘베스트 오픈뱅킹/API 이니셔티브’ 수상,2020.07.02
 ‘우리 팬(Woori Fan) 리포터’ 1기 발대식 개최,2020.06.30
 소상공인 2차 대출 모바일로 받으세요,2020.06.22
 코로나19 극복 대형글판 선보여,2020.06.18
 취업준비생을 위한 정장 기부 캠페인 펼쳐,2020.06.17
 ‘리그오브레전드 챔피언스 코리아’ 개막 이벤트 실시,2020.06.16
 엘빈즈와「우리아이 행복만들기」이벤트 실시,2020.06.15
 서울시 생존자금 신청접수 지원,2020.06.15
 메인비즈협회와 업무협약 체결,2020.06.10
 라임펀드 판매사 공동 선지급 방안 수용,2020.06.08
 정부 노인일자리 공익활동 참여자 지원사업 동참,2020.06.08
직장인 신용대출 조건 토스에서 확인하세요,2020.06.05
 복장 자율화 전면 시행,2020.06.01
 이유식 전문브랜드 엘빈즈와 업무협약 체결,2020.05.29
 코로나19 피해기업 돕기 『힘내자! 대한민국』직원 참여 바자회 실시,2020.05.26
 기보와 코로나 대응 혁신성장기업 금융지원 업무협약 체결,2020.05.25
" 인도네시아에 코로나19 방호복 5,000벌 기부",2020.05.19
고객패널 ‘우리 팬(Woori Fan) 리포터’ 1기 모집,2020.05.18
 가정의 달 맞이 ‘사랑 더하기 예·적금’ 이벤트,2020.05.12
 청신호와 함께 청년금융교육 실시,2020.05.12
 인터넷 무역금융 실행 서비스 출시,2020.05.11
 화훼농가 돕기 릴레이 캠페인 동참,2020.04.29
 관리비 가상계좌 집금서비스 실시,2020.04.27
 인터넷 우리오픈뱅킹 서비스 이벤트,2020.04.27
 한국신용데이터와 소상공인 금융지원 업무협약 체결,2020.04.22
 2020년 신입행원 수시채용 실시,2020.04.20
 알바천국과 함께 소상공인 지원한다,2020.04.17
 모바일 전세대출 출시 이벤트,2020.04.09
 최고 연 5.7% ‘우리 Magic 적금 by 현대카드’ 정기적금 출시,2020.04.09
 ‘사잇돌 중금리대출’ 금리우대 이벤트 실시,2020.04.07
 미래지향적 빅데이터 시스템 구축 완료,2020.04.03
모든 영업점에 코로나19 감염 예방 칸막이 설치,2020.04.02
 취약계층 아동 위한 아동복지시설 방역 지원,2020.04.02
「연 1.5% 금리 코로나19 소상공인 대출」 실시,2020.04.02
 베트남 모바일뱅킹 리뉴얼 앱 ‘우리WON뱅킹 베트남’ 출시,2020.04.01
 코로나19 금융지원 위해 본부직원 영업점 파견,2020.03.30
 『가업승계 TAX컨설팅센터』 오픈,2020.03.27
" 제52대 권광석 은행장 취임 취임식 생략, 바로 현장 점검 나서",2020.03.24
